artifact,artifact_kind,location,source_provenance,classification,needed_for_execution,c1_status,recommended_action,notes
$cfg-state / $cfg-instrs,configuration projection helpers,removed from output_bs.maude,footer helper not source-derived,DEAD_CAN_REMOVE,no,removed from strict core,removed,"Focused cleanup confirmed no active use; accepted execution smokes still pass."
$local / $with-local,source local state helpers,"output_bs.maude:495,634,7821,7827",source defs in execution configurations,SOURCE_DERIVED_OK,yes,C1-covered; broad footer duplicates removed,keep source-derived generation,"Direct probes and accepted execution smokes pass with only the source-generated equations."
$with-locals,context local update helper,"output_bs.maude:635,4706-4707",source def in validation contexts,SOURCE_DERIVED_OK,yes,C1-covered,keep source-derived generation,"Known strict executability limitation around sequence index/list lifting is not missing coverage."
$invoke / $instantiate,execution/module helpers,"output_bs.maude:377,394,9450,9463",source defs/rules from execution modules plus harness-facing use,SOURCE_DERIVED,partly,C1-covered but executable harness-dependent,keep source-derived rules; do not chase init-config here,"Invoke path remains known fallout from validation rewrites and harness representation."
CTORFRAMEA2,source frame record constructor,"output_bs.maude:718,9823-9826","wasm-3.0/4.0-execution.configurations.spectec frame syntax plus translator typed-record lowering",SOURCE_DERIVED,yes,"source syntax representation; former $mk-frame helper removed",generate typed record constructors from source record syntax generically,"Direct record-literal ablation failed to compose with Store ; Frame matching, so a typed source constructor remains."
$subst-typeuse sequence lift,list-lift helper,"output_bs.maude:565-566,9789-9793",source element helper plus C1 sequence lift for source star-map expressions,GENERIC_SPECTEC_PRELUDE,source substitution behavior depends on it,accepted representation substrate for source `f(x)*` star-map lowering,generalize the pattern beyond hand-written footer strings,"Ablation regressed source substitution probes; retained as source-intent-preserving star-map lowering."
$subst-valtype sequence lift,list-lift helper,"output_bs.maude:568-569,9794-9798",source element helper plus C1 sequence lift for source star-map expressions,GENERIC_SPECTEC_PRELUDE,source substitution paths depend on it,accepted representation substrate for source `f(x)*` star-map lowering,generalize the pattern beyond hand-written footer strings,"Returns terms, not valid; not the same as removed Val-ok list-lift."
$subst-subtype sequence lift,list-lift helper,"output_bs.maude:561-562,9799-9803",source element helper plus C1 sequence lift for source star-map expressions,GENERIC_SPECTEC_PRELUDE,source substitution behavior depends on it,accepted representation substrate for source `f(x)*` star-map lowering,generalize the pattern beyond hand-written footer strings,"Ablation made subtype-sequence substitution stuck; retained as source-intent-preserving star-map lowering."
$rec-typevars / $def-typeuses / $idx-typeuses,finite iteration helpers,removed from output_bs.maude,removed from translator footer,DEAD_CAN_REMOVE,no,removed from strict core,removed,"Source-absent and unused beyond own declarations/equations; accepted execution smokes still pass after removal."
"$is-spectec-val-seq",source category sequence predicate,"output_bs.maude:453,9788-9791 and execution rule guards","translator_bs.ml:2043-2049,4015-4018,4058","GENERIC_SPECTEC_PRELUDE",yes,"source-category-derived guard for SpecTec val* premises","keep; generalize as a category-sequence predicate pattern","Replaces the removed is-val/all-vals predicates; uses W : Val instead of hardcoded value constructors."
"is-val / all-vals",removed value-prefix predicates,removed from output_bs.maude and translator footer,old translator execution helper over Wasm value constructors,DEAD_CAN_REMOVE,no,removed from strict core,removed,"Replaced by $is-spectec-val-seq after focused ablation; no longer appears in output_bs.maude or translator_bs.ml."
needs-label-ctxt,label context detector,removed from output_bs.maude,old execution-control helper,DEAD_CAN_REMOVE,no,removed from strict core,removed,"Only active generated occurrences were declaration/equations; disabled branch using it was removed."
is-trap,trap detector,removed from output_bs.maude,old execution-control helper,DEAD_CAN_REMOVE,no,removed from strict core,removed,"Only active generated occurrences were declaration/equations; disabled branch using it was removed."
label-related step-from-step-pure-*,derived Step_pure-to-Step shortcuts,output_bs.maude:8111-8301,not direct source rules,NON_C1_FINAL_SCAFFOLD,yes,P0 executable debt,ask professor C1 vs C2 or find source-preserving generic bridge,"20 labels remain; non-label shortcuts are absent. Prior removal broke label/br execution and Fibonacci."
specialized LABEL/FRAME/HANDLER constructor declarations,constructor sort overrides,output_bs.maude generated declarations / translator postprocess,Wasm administrative constructor support,WASM_SPECIFIC_SEMANTICS,yes,Wasm-specific support,generate from source shape instead of hardcoded constructor names,"P4/general SpecTec blocker if left fixed to Wasm administrative names."
w-N / w-M / w-K / w-X / w-C / related atoms,type/category atoms,output_bs.maude:42-43,fixed Wasm-oriented type/category atoms,WASM_SPECIFIC_SEMANTICS,yes,Wasm-specific fixed header,derive from source or parameterize,"P4/generalization blocker."
fixed Wasm index subsorts,header numeric/index layer,output_bs.maude:18-35,Wasm-specific index/category names,WASM_SPECIFIC_SEMANTICS,yes,Wasm-specific fixed header,derive from source declarations,"Includes Labelidx Localidx Typeidx Funcidx Globalidx Tableidx Memidx Tagidx Elemidx Dataidx Fieldidx."
auto-declared helper call $f overloads,higher-order def parameter declarations,output_bs.maude:119-121,"wasm-3.0/3.2-numerics.vector.spectec def $f_ parameters",SOURCE_DERIVED,yes,C1-covered representation of source higher-order def parameters,generalize helper-call declarations but keep source-derived intent,"Used by generated vector numeric equations such as $ivunop/$fvunop; not a dead helper."
_shape-x_,removed dead shape helper,removed from output_bs.maude,"not source-derived; source shape constructor is CTORXA2",DEAD_CAN_REMOVE,no,removed from strict core,removed,"Direct source/output comparison showed CTORXA2 covers syntax shape = lanetype X dim and the related $dim/$lanetype/$unpackshape definitions; _shape-x_ had no use."
stale VALOK-* variables,unused variable declarations,removed from output_bs.maude,leftover from removed Val-ok footer sequence lift,DEAD_CAN_REMOVE,no,removed from strict core,removed,"No active use found beyond declarations."
fib-store / fib-module / fib-config / fib-moduleinst,benchmark harness terms,wasm-exec-bs.maude,manual Fibonacci harness,BENCHMARK_HARNESS,yes for regression harness,outside generated C1 core,keep isolated from translator/output_bs,"Permitted harness, not part of strict generated output."
i32v / CTORI32A0-specific harness membership,benchmark convenience,wasm-exec-bs.maude,manual Fibonacci harness,BENCHMARK_HARNESS,yes for regression harness,outside generated C1 core,keep isolated from translator/output_bs,"Forbidden in translator; current forbidden hardcoding grep is clean."
