"artifact","artifact_kind","generated_location","translator_location","classification","source_provenance","c1_strict_status","p4_genericity_status","notes"
"w-N/w-M/w-K/... type atoms","fixed type variable atoms","output_bs.maude:42-43","translator_bs.ml:4087-4088","WASM_SPECIFIC_SEMANTICS","Wasm-oriented meta type/category atoms","needed by current Wasm translation","must be generated from source or parameterized","Hardcoded Wasm-looking atom set; likely P4 blocker."
"TypedTerm / WellTyped / _hasType_","type witness framework","output_bs.maude:48-52","translator_bs.ml:4089-4096; membership lowering sites","GENERIC_SPECTEC_PRELUDE","translator encoding of parametric syntax/category judgements","needed by current C1","can stay if carrier names generalize","Central to mb/cmb and list(syntax X) encoding."
"Judgement / ValidJudgement / valid","relation proof-result sorts","output_bs.maude:54-59","translator_bs.ml:4097-4104","GENERIC_SPECTEC_PRELUDE","translator encoding for relation rules rewriting to valid","needed by strict validation lowering","can stay generic","Header comments still mention old eq/ceq baseline and should be refreshed."
"_shape-x_","shape helper","output_bs.maude:60-61","translator_bs.ml:4105","UNKNOWN","appears to be parser/translation support","not yet classified","audit for P4","No direct use found in focused header audit; candidate for dead-code check."
"slice","sequence slice helper declaration","output_bs.maude:62","translator_bs.ml:4106","GENERIC_SPECTEC_PRELUDE","generic sequence slicing used by translated source definitions/rules","needed by generated Wasm rules","can stay if generalized","Only declaration in header; operational equations are source/prelude dependent."
"_<-_","membership-like Bool helper","output_bs.maude:63","translator_bs.ml:4107","GENERIC_SPECTEC_PRELUDE","generic containment/test helper for translated Boolean conditions","needed by generated rules","can stay if generalized","Used in generated Boolean side conditions."
"merge / _=++_ / any","record/terminal combinators","output_bs.maude:65-68","translator_bs.ml:4108-4111","GENERIC_SPECTEC_PRELUDE","parser/translation support for records and wildcard terms","needed by generated validation contexts","can stay if generalized","merge is heavily used for contexts; any is a broad placeholder."
"Config / State / Store / Frame sorts","execution syntax sorts","output_bs.maude:77-82,1244,1277,1347","wasm-3.0/4.0-execution.configurations.spectec:118-148; translator_bs.ml:4114-4123","SOURCE_DERIVED","Wasm execution configuration syntax","C1 source-derived, with helper declarations","Wasm-specific; should be generated from source not fixed","The sorts are source constructs, but the fixed header predeclares config operators."
"StepConf / StepPureConf / StepReadConf / StepsConf","rewrite-result wrapper sorts","output_bs.maude:74-80","translator_bs.ml:4114-4121","EXECUTION_HARNESS","translator wrapper to prevent zero-step conditional satisfaction","needed for executable C1","generic relation wrapper idea, names currently Wasm Step-specific","Not source syntax; could be a generic relation-compilation mechanism."
"step / step-pure / step-read / steps operators","execution relation operators","output_bs.maude:83-86","wasm-3.0/4.3-execution.instructions.spectec:5-8; translator_bs.ml:4124-4127","SOURCE_DERIVED","source relation declarations, adapted to wrapper result sorts","C1 primary relation surface","relation wrappers should be generated generically","Source-derived names, but wrapper result sorts are translator infrastructure."
"$cfg-state / $cfg-instrs","config projection helpers","output_bs.maude:88-89,9802-9803","translator_bs.ml:4128-4129,4168-4171","LEGACY_OR_DEAD","footer helper, not source-derived","appears unused in current output","remove if confirmed unused by harness","Only declaration/equations found; no use in generated rules."
"common variable block","header variable declarations","output_bs.maude:92-121","translator_bs.ml:4130-4166","EXECUTION_HARNESS","hand-maintained variable pool for generated footer/header helpers","needed while footer remains string-based","should be generated per artifact or eliminated","Contains stale variables VALOK-WT-S, VALOK-C, VALOK-NT that appear unused after Val-ok cleanup."
"auto-collected tokens","token constants","output_bs.maude:123-124","translator collection before header/body emission","SOURCE_DERIVED","tokens discovered from SpecTec parse","covered by source audit","generic if parser generalizes","Generated from source token usage."
"auto-declared helper call $f overloads","fallback helper declarations","output_bs.maude:127-130","translator helper-call prescan around helper collection","UNKNOWN","auto-declared helper-call fallback","audit before cleanup","could be generic but currently opaque","Needs use-site inventory; name is too generic for professor-facing mapping."
"generated syntax sorts and CTOR* constructors","syntax declaration lowering","output_bs.maude:1000-1900 approx","wasm-3.0/1.* and 4.0 syntax files; translator syntax lowering","SOURCE_DERIVED","249/249 source syntax declarations covered","C1-covered","generic if frontend parses other specs","Wasm-specific constructors are expected in Wasm output."
"generated mb/cmb memberships","syntax category membership","output_bs.maude:1900-3000 approx","translator syntax/category lowering","SOURCE_DERIVED","source syntax/category constraints","C1-covered","generic mechanism should carry over","Uses broad carriers plus category predicates."
"generated source def equations/rules","definition lowering","output_bs.maude:3000-4800 and 9300-9460 approx","wasm-3.0/*.spectec def declarations; translator def lowering","SOURCE_DERIVED","1272/1272 source def targets covered","C1-covered","generic if frontend/general lowering supports source dialect","Includes Wasm execution definitions such as $invoke/$instantiate."
"generated relation operators","relation declaration lowering","output_bs.maude:4800-8000 approx","wasm-3.0/*.spectec relation declarations; translator RelD lowering","SOURCE_DERIVED","82/82 source relation declarations covered","C1-covered","generic if relation lowering parameterized","Validation relation ops now rewrite via primary rl/crl."
"primary generated rl/crl rules","rule declaration lowering","output_bs.maude:4800-9300 approx","wasm-3.0/*.spectec rule declarations; translator RelD/Step lowering","SOURCE_DERIVED","499/499 source rules covered","C1-covered","generic if rule lowering parameterized","Do not mark non-executability as missing."
"$is-spectec-* predicates","generated category predicates","output_bs.maude:9470-9790 approx","translator refined predicate generation","GENERIC_SPECTEC_PRELUDE","derived from source syntax categories, not source constructs themselves","needed for operational source-sort guards","good generic pattern; keep spectec prefix","Renamed away from $is-* to avoid collisions with source helpers."
"$free-* helpers","source/free-variable helpers","output_bs.maude mixed generated declarations/equations","wasm-3.0/1.* syntax def sources","SOURCE_DERIVED","many are real source defs in syntax files","C1-covered","generic if source defs parse","Some generated helper infrastructure around them still needs separation."
"is-val","value predicate helper","output_bs.maude:1131,9805-9816","translator_bs.ml:4168-4183,4268","EXECUTION_HARNESS","not a source relation; approximates Val membership for context guards","needed by all-vals and execution smokes","Wasm-specific constructors; should be generated from val syntax","Footer enumerates Wasm value constructors plus fallback membership."
"all-vals","value-sequence predicate helper","output_bs.maude:1059,9818-9820","translator_bs.ml:4168-4186,4269","EXECUTION_HARNESS","not a source relation; supports translated value-prefix premises","needed by step/context rules","generic idea but category should be parameterized","Used widely in Step rules."
"needs-label-ctxt","label control-flow detector","output_bs.maude:1155,9827-9833","translator_bs.ml:4187-4198,4271","LEGACY_OR_DEAD","non-source helper from earlier heat/control experiment","appears unused in current output","remove if confirmed by full grep","No use found except declaration/equations."
"is-trap","trap detector helper","output_bs.maude:1130,9835-9838","translator_bs.ml:4199-4202,4270","LEGACY_OR_DEAD","non-source helper from execution support","appears unused in current output","remove if confirmed by full grep","No use found except declaration/equations."
"$subst-typeuse sequence lift","list-lift helper","output_bs.maude:583-584,9844-9851","source element helper in 1.2 types plus translator footer lift","NON_C1_FINAL_SCAFFOLD","source has element-level substitution; footer adds sequence lifting","executable support, not one-source-one-rule clean","needs principled generic list-lift or C2 layer","Documented as executable lifting over lists."
"$subst-valtype sequence lift","list-lift helper","output_bs.maude:586-587,9852-9857","source element helper in 1.2 types plus translator footer lift","NON_C1_FINAL_SCAFFOLD","source has element-level substitution; footer adds sequence lifting","executable support, not strict-clean","needs generic list-lift story","Similar to removed Val-ok list-lift but returns terms, not valid."
"$subst-subtype sequence lift","list-lift helper","output_bs.maude:579-580,9858-9863","source element helper in 1.2 types plus translator footer lift","NON_C1_FINAL_SCAFFOLD","source has element-level substitution; footer adds sequence lifting","executable support, not strict-clean","needs generic list-lift story","Potential cleanup after validating dependent rules."
"$rec-typevars","finite type-iteration helper","output_bs.maude:528,9866-9869","translator_bs.ml:4223-4233,4275","NON_C1_FINAL_SCAFFOLD","not direct source def; supports SpecTec i<n expansions","executable support","generic iteration lowering needed for P4","Hardcoded to Wasm rectype constructor."
"$def-typeuses","finite type-iteration helper","output_bs.maude:216,9870-9875","translator_bs.ml:4234-4238,4276","NON_C1_FINAL_SCAFFOLD","not direct source def; supports SpecTec i<n expansions","executable support","generic iteration lowering needed for P4","Hardcoded to CTORWDEFA2."
"$idx-typeuses","finite type-iteration helper","output_bs.maude:357,9876-9882","translator_bs.ml:4239-4241,4277","NON_C1_FINAL_SCAFFOLD","not direct source def; supports SpecTec i<n expansions","executable support","generic iteration lowering needed for P4","Hardcoded to CTORWIDXA1 and Typeidx."
"$expanddt footer equation","expand helper shortcut","output_bs.maude:9883-9884","translator_bs.ml:4240-4241","NON_C1_FINAL_SCAFFOLD","duplicates/shortcuts source Expand/unroll behavior for execution","executable support","should be source-derived or moved to C2","No longer an =valid duplicate, but still source-logic shortcut in footer."
"generic list type witness","polymorphic list membership shortcut","output_bs.maude:9880-9881","translator_bs.ml:4242-4246","GENERIC_SPECTEC_PRELUDE","supports source syntax list(syntax X)","needed for empty list witnesses","good generic candidate","May be acceptable generic prelude if renamed."
"$mk-frame and frame projection/update equations","frame representation helper","output_bs.maude:517,9888-9892","translator_bs.ml:4248-4256,4278","EXECUTION_HARNESS","represents source frame record with constructor to avoid record membership divergence","needed by current execution smokes","Wasm-specific; move to Wasm execution harness or generate from source record shape","Key C1/C2 boundary item."
"$local source equation and broad shim","local lookup helper","output_bs.maude:500,7828,9898","wasm-3.0/4.0-execution.configurations.spectec:264-274; translator_bs.ml:4258-4262","WASM_SPECIFIC_SEMANTICS","source def plus footer broad record-state shim","source def is C1; footer shim is harness debt","Wasm-specific fields; not P4 generic","Footer duplicate may be removable if source equation suffices."
"$with-local source equation and broad shim","local update helper","output_bs.maude:639,7834,9899-9900","wasm-3.0/4.0-execution.configurations.spectec:279-290; translator_bs.ml:4258-4264","WASM_SPECIFIC_SEMANTICS","source def plus footer broad record-state shim","source def is C1; footer shim is harness debt","Wasm-specific fields; not P4 generic","Footer duplicate may be removable if source equation suffices."
"$with-locals","validation context update helper","output_bs.maude:640,4713-4714","wasm-3.0/2.0-validation.contexts.spectec:46-49","SOURCE_DERIVED","source def for context local updates","C1 source-derived","Wasm-specific context fields but generated from source","Known strict limitation area via Instrs-ok/seq."
"specialized LABEL/FRAME/HANDLER constructor declarations","constructor sort override","output_bs.maude: generated declarations and translator postprocess","translator_bs.ml:4279-4281,4326-4330,4411-4416","WASM_SPECIFIC_SEMANTICS","Wasm administrative instruction constructors need narrow Maude sorts","needed for execution","must be generated from source shape instead of hardcoded names","Hardcoded CTOR names are a P4 blocker."
"label-related step-from-step-pure-*","derived execution shortcuts","output_bs.maude:8111-8301","translator_bs.ml:3585-3629","NON_C1_FINAL_SCAFFOLD","not direct source rules; derived from Step_pure label families","retained as documented P0 debt","belongs in C2 unless professor accepts generic bridge","20 labels remain; non-label shortcuts absent."
"disabled ExecConf restore-* branch","legacy translator branch","not emitted in output_bs.maude","translator_bs.ml:2985-3034","LEGACY_OR_DEAD","old context-closure experiment disabled by else-if false","not part of current output","delete after confirming no planned use","Contains restore-label/frame/handler declarations for ExecConf not emitted."
"fib-store / fib-module / fib-config / fib-moduleinst","benchmark harness terms","wasm-exec-bs.maude:43-170 approx","not in translator_bs.ml","BENCHMARK_HARNESS","manual Fibonacci harness, not SpecTec source","outside strict generated core","irrelevant to P4; keep separate","Allowed in harness, forbidden in translator."
"i32v","benchmark convenience operator","wasm-exec-bs.maude:39-41","not in translator_bs.ml","BENCHMARK_HARNESS","manual Fibonacci shorthand","outside strict generated core","irrelevant to P4","Uses CTORI32A0 intentionally in harness."
"fib-config-invoke","benchmark invoke-path harness","wasm-exec-bs.maude:126-128","not in translator_bs.ml","BENCHMARK_HARNESS","manual Fibonacci invoke configuration","known incomplete invoke-path issue","irrelevant to generic translator","Do not confuse with source init-config."
"CTORI32A0-specific harness membership","benchmark harness membership","wasm-exec-bs.maude:41","not in translator_bs.ml","BENCHMARK_HARNESS","manual value membership for i32 constants","outside strict generated core","not generic","Permitted in harness, should not migrate to translator."
