source_file,source_kind,source_name,source_rule_or_case,generated_artifact,generated_line,coverage_status,isomorphism_status,executability_status,notes
wasm-3.0/1.1-syntax.values.spectec,syntax,u8,syntax u8  = uN(`8),sort U8; sort U8; op u8,1375,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,u16,syntax u16 = uN(`16),sort U16; sort U16; op u16,1371,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,u31,syntax u31 = uN(`31),sort U31; sort U31; op $is-spectec-u31; op u31,1372,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,u32,syntax u32 = uN(`32),sort U32; sort U32; op $is-spectec-u32; op u32,1373,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,u64,syntax u64 = uN(`64),sort U64; sort U64; op u64,1374,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,s33,syntax s33 = sN(`33),sort S33; sort S33; op s33,1346,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,i32,syntax i32 = iN(`32),sort I32; sort I32; op i32,1298,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,i64,syntax i64 = iN(`64),sort I64; sort I64; op i64,1299,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,i128,syntax i128 = iN(`128),sort I128; sort I128; op i128,1297,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,fN,"syntax fN(N) hint(desc ""floating-point number"") hint(show f#%) hint(macro ""fNX"") =",op fN,1103,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,exp,syntax exp hint(show e) hint(macro none) = int,sort Exp; op exp,1267,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,fNmag,"syntax fNmag(N) hint(desc ""floating-point magnitude"") hint(show fNmag) =",op fNmag,1104,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,f32,syntax f32 = fN(`32),sort F32; sort F32; op f32,1274,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,f64,syntax f64 = fN(`64),sort F64; sort F64; op f64,1275,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,vN,"syntax vN(N) hint(desc ""vector"") hint(show v#%) hint(macro ""vNX"") =",op vN,1213,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,v128,syntax v128 = vN(`128),sort V128; sort V128; op v128,1376,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,list,syntax list(syntax X) = X*  -- if |X*| < $(2^32),op list,1142,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,char,"syntax char hint(desc ""character"") = U+0000 | ... | U+D7FF | U+E000 | ... | U+10FFFF",op char,1072,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,name,"syntax name hint(desc ""name"") = char*  -- if |$utf8(char*)| < $(2^32)",sort Name; op $is-spectec-name; op name,1329,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,idx,"syntax idx hint(desc ""index"") = u32",sort Idx; op $is-spectec-idx; op idx,1300,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,laneidx,"syntax laneidx hint(desc ""lane index"") = u8",sort Laneidx; op $is-spectec-laneidx; op laneidx,1310,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,typeidx,"syntax typeidx hint(desc ""type index"") = idx",sort Typeidx; op $is-spectec-typeidx; op typeidx,1368,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,funcidx,"syntax funcidx hint(desc ""function index"") = idx",sort Funcidx; op funcidx,1286,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,globalidx,"syntax globalidx hint(desc ""global index"") = idx",sort Globalidx; op globalidx,1290,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,tableidx,"syntax tableidx hint(desc ""table index"") = idx",sort Tableidx; op tableidx,1359,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,memidx,"syntax memidx hint(desc ""memory index"") = idx",sort Memidx; op memidx,1321,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,tagidx,"syntax tagidx hint(desc ""tag index"") = idx",sort Tagidx; op tagidx,1364,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,elemidx,"syntax elemidx hint(desc ""elem index"") = idx",sort Elemidx; op elemidx,1261,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,dataidx,"syntax dataidx hint(desc ""data index"") = idx",sort Dataidx; op dataidx,1253,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,labelidx,"syntax labelidx hint(desc ""label index"") = idx",sort Labelidx; op $is-spectec-labelidx; op labelidx,1309,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,localidx,"syntax localidx hint(desc ""local index"") = idx",sort Localidx; op localidx,1315,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,fieldidx,"syntax fieldidx hint(desc ""field index"") = idx",sort Fieldidx; op fieldidx,1276,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,externidx,"syntax externidx hint(desc ""external index"") hint(macro ""%"" ""XX%"") =",sort Externidx; op $is-spectec-externidx; op externidx,1272,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.1-syntax.values.spectec,syntax,free,syntax free =,sort Free; op free,1282,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,null,"syntax null hint(show NULL) hint(macro ""%"" ""%"") = NULL",sort Null; op $is-spectec-null; op null,1331,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,addrtype,"syntax addrtype hint(desc ""address type"") =",sort Addrtype; op $is-spectec-addrtype; op addrtype,1238,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,numtype,"syntax numtype hint(desc ""number type"") =",sort Numtype; op $is-spectec-numtype; op numtype,1333,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,vectype,"syntax vectype hint(desc ""vector type"") =",sort Vectype; op $is-spectec-vectype; op vectype,1380,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,consttype,"syntax consttype hint(desc ""constant type"") =",sort Consttype; op consttype,1249,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,absheaptype,"syntax absheaptype/syn hint(desc ""abstract heap type"") =",sort Absheaptype; op $is-spectec-absheaptype; op absheaptype,1235,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,absheaptype,syntax absheaptype/sem =,sort Absheaptype; op $is-spectec-absheaptype; op absheaptype,1235,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,rectype,"syntax rectype hint(desc ""recursive type"")  ;; forward decl",sort Rectype; op $is-spectec-rectype; op rectype,1339,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,deftype,"syntax deftype hint(desc ""defined type"") =",sort Deftype; op $is-spectec-deftype; op deftype,1257,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,typeuse,"syntax typeuse/syn hint(desc ""type use"") =",sort Typeuse; op $is-spectec-typeuse; op typeuse,1369,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,typeuse,syntax typeuse/sem =,sort Typeuse; op $is-spectec-typeuse; op typeuse,1369,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,typevar,"syntax typevar hint(desc ""type variable"") =",sort Typevar; op typevar,1370,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,heaptype,"syntax heaptype hint(desc ""heap type"") =",sort Heaptype; op $is-spectec-heaptype; op heaptype,1294,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,reftype,"syntax reftype hint(desc ""reference type"") =",sort Reftype; op $is-spectec-reftype; op reftype,1341,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,valtype,"syntax valtype/syn hint(desc ""value type"") =",sort Valtype; op $is-spectec-valtype; op valtype,1378,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,valtype,syntax valtype/sem =,sort Valtype; op $is-spectec-valtype; op valtype,1378,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,Inn,"syntax Inn hint(show I#N) hint(macro ""nt%"") = addrtype",sort Inn; op Inn,1303,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,Fnn,"syntax Fnn hint(show F#N) hint(macro ""nt%"") = F32 | F64",sort Fnn; op Fnn,1280,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,Vnn,"syntax Vnn hint(show V#N) hint(macro ""nt%"") = vectype",sort Vnn; op Vnn,1381,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,Cnn,syntax Cnn hint(show t) = Inn | Fnn | Vnn,sort Cnn; op Cnn,1246,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,packtype,"syntax packtype hint(desc ""packed type"") = I8 | I16",sort Packtype; op $is-spectec-packtype; op packtype,1336,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,lanetype,"syntax lanetype hint(desc ""lane type"") = numtype | packtype",sort Lanetype; op lanetype,1311,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,storagetype,"syntax storagetype hint(desc ""storage type"") = valtype | packtype",sort Storagetype; op $is-spectec-storagetype; op storagetype,1350,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,Pnn,"syntax Pnn hint(show I#N) hint(macro ""nt%"") = packtype",sort Pnn; op Pnn,1338,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,Jnn,"syntax Jnn hint(show I#N) hint(macro ""nt%"") = Inn | Pnn",sort Jnn; op Jnn,1307,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,Lnn,"syntax Lnn hint(show I#N) hint(macro ""nt%"") = lanetype",sort Lnn; op Lnn,1313,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,resulttype,"syntax resulttype hint(desc ""result type"") =",sort Resulttype; op $is-spectec-resulttype; op resulttype,1345,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,mut,"syntax mut hint(show MUT) hint(macro ""T%"" ""T%"") = MUT",sort Mut; op mut,1327,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,final,"syntax final hint(show FINAL) hint(macro ""T%"" ""T%"") = FINAL",sort Final; op final,1279,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,fieldtype,"syntax fieldtype  hint(desc ""field type"") = mut? storagetype",sort Fieldtype; op $is-spectec-fieldtype; op fieldtype,1277,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,comptype,"syntax comptype hint(desc ""composite type"") hint(macro ""%"" ""T%"") =",sort Comptype; op $is-spectec-comptype; op comptype,1247,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,subtype,"syntax subtype hint(desc ""sub type"") hint(macro ""%"" ""T%"") =",sort Subtype; op $is-spectec-subtype; op subtype,1354,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,rectype,"syntax rectype hint(desc ""recursive type"") hint(macro ""%"" ""T%"") =",sort Rectype; op $is-spectec-rectype; op rectype,1339,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
wasm-3.0/1.2-syntax.types.spectec,syntax,limits,"syntax limits hint(desc ""limits range"") = `[u64 .. u64?] hint(macro ""L%"")",sort Limits; op $is-spectec-limits; op limits,1312,SOURCE_SYNTAX_COVERED,STRUCTURAL_CATEGORY_COVERED,NOT_APPLICABLE,Declaration-level syntax coverage checked by generated sort/predicate/operator; constructor alternatives are represented through generated CTOR ops and memberships.
