artifact,artifact_kind,location,source_provenance,classification,needed_for_execution,c1_status,recommended_action,notes
$cfg-state / $cfg-instrs,configuration projection helpers,removed from output_bs.maude,footer helper not source-derived,DEAD_CAN_REMOVE,no,removed from strict core,removed,"Focused cleanup confirmed no active use; accepted execution smokes still pass."
$local / $with-local,source local state helpers,"output_bs.maude:495,634,7821,7827",source defs in execution configurations,SOURCE_DERIVED_OK,yes,C1-covered; broad footer duplicates removed,keep source-derived generation,"Direct probes and accepted execution smokes pass with only the source-generated equations."
$with-locals,context local update helper,"output_bs.maude:635,4706-4707",source def in validation contexts,SOURCE_DERIVED_OK,yes,C1-covered,keep source-derived generation,"Known strict executability limitation around sequence index/list lifting is not missing coverage."
$invoke / $instantiate,execution/module helpers,"output_bs.maude:377,394,9450,9463",source defs/rules from execution modules plus harness-facing use,SOURCE_DERIVED,partly,C1-covered but executable harness-dependent,keep source-derived rules; do not chase init-config here,"Invoke path remains known fallout from validation rewrites and harness representation."
$mk-frame,frame representation helper,"output_bs.maude:517,9888-9892",translator/frame representation adapter,EXECUTION_HARNESS,yes,not direct source syntax,audit only after current execution baseline is protected,"Used by accepted Fibonacci execution smokes; likely C2 or Wasm execution adapter debt."
$subst-typeuse sequence lift,list-lift helper,"output_bs.maude:578-579,9815-9819",source element helper plus footer sequence lift for source star-map expressions,NON_C1_FINAL_SCAFFOLD,source substitution behavior depends on it,non-source-derived list lifting; keep until generic map lowering,replace with generic source-preserving sequence-map lowering,"Ablation was restored after sequence substitution probes regressed."
$subst-valtype sequence lift,list-lift helper,"output_bs.maude:581-582,9820-9824",source element helper plus footer sequence lift for source star-map expressions,NON_C1_FINAL_SCAFFOLD,source substitution paths depend on it,non-source-derived list lifting; keep until generic map lowering,replace with generic source-preserving sequence-map lowering,"Returns terms, not valid; not the same as removed Val-ok list-lift."
$subst-subtype sequence lift,list-lift helper,"output_bs.maude:574-575,9825-9829",source element helper plus footer sequence lift for source star-map expressions,NON_C1_FINAL_SCAFFOLD,source substitution behavior depends on it,non-source-derived list lifting; keep until generic map lowering,replace with generic source-preserving sequence-map lowering,"Ablation made subtype-sequence substitution stuck while smokes still passed."
$rec-typevars / $def-typeuses / $idx-typeuses,finite iteration helpers,removed from output_bs.maude,removed from translator footer,DEAD_CAN_REMOVE,no,removed from strict core,removed,"Source-absent and unused beyond own declarations/equations; accepted execution smokes still pass after removal."
$expanddt footer equation,expand shortcut,output_bs.maude:9876-9877,footer shortcut over source unroll/expand behavior,NON_C1_FINAL_SCAFFOLD,yes,source-logic shortcut not a primary source rule,audit separately against source Expand rules,"No =valid duplicate remains, but this remains source-logic shortcut debt."
is-val / all-vals,value-prefix predicates,"output_bs.maude:1059,1131,9810-9820",translator execution helper over Wasm value constructors,EXECUTION_HARNESS,yes,not direct source relation,generate from value syntax or move to execution layer,"Needed by Step/ctxt-instrs and related execution rules."
needs-label-ctxt,label context detector,removed from output_bs.maude,old execution-control helper,DEAD_CAN_REMOVE,no,removed from strict core,removed,"Only active generated occurrences were declaration/equations; disabled branch using it was removed."
is-trap,trap detector,removed from output_bs.maude,old execution-control helper,DEAD_CAN_REMOVE,no,removed from strict core,removed,"Only active generated occurrences were declaration/equations; disabled branch using it was removed."
label-related step-from-step-pure-*,derived Step_pure-to-Step shortcuts,output_bs.maude:8111-8301,not direct source rules,NON_C1_FINAL_SCAFFOLD,yes,P0 executable debt,ask professor C1 vs C2 or find source-preserving generic bridge,"20 labels remain; non-label shortcuts are absent. Prior removal broke label/br execution and Fibonacci."
specialized LABEL/FRAME/HANDLER constructor declarations,constructor sort overrides,output_bs.maude generated declarations / translator postprocess,Wasm administrative constructor support,WASM_SPECIFIC_SEMANTICS,yes,Wasm-specific support,generate from source shape instead of hardcoded constructor names,"P4/general SpecTec blocker if left fixed to Wasm administrative names."
w-N / w-M / w-K / w-X / w-C / related atoms,type/category atoms,output_bs.maude:42-43,fixed Wasm-oriented type/category atoms,WASM_SPECIFIC_SEMANTICS,yes,Wasm-specific fixed header,derive from source or parameterize,"P4/generalization blocker."
fixed Wasm index subsorts,header numeric/index layer,output_bs.maude:18-35,Wasm-specific index/category names,WASM_SPECIFIC_SEMANTICS,yes,Wasm-specific fixed header,derive from source declarations,"Includes Labelidx Localidx Typeidx Funcidx Globalidx Tableidx Memidx Tagidx Elemidx Dataidx Fieldidx."
auto-declared helper call $f overloads,fallback helper declarations,output_bs.maude:127-130,translator helper-call prescan,UNKNOWN,unknown,needs provenance audit,audit use sites before cleanup,"Opaque generic fallback; not a known missing source construct."
_shape-x_,shape helper,output_bs.maude:60-61,parser/translation support,UNKNOWN,unknown,needs provenance audit,audit use sites before cleanup,"No direct source provenance identified in this pass."
stale VALOK-* variables,unused variable declarations,removed from output_bs.maude,leftover from removed Val-ok footer sequence lift,DEAD_CAN_REMOVE,no,removed from strict core,removed,"No active use found beyond declarations."
fib-store / fib-module / fib-config / fib-moduleinst,benchmark harness terms,wasm-exec-bs.maude,manual Fibonacci harness,BENCHMARK_HARNESS,yes for regression harness,outside generated C1 core,keep isolated from translator/output_bs,"Permitted harness, not part of strict generated output."
i32v / CTORI32A0-specific harness membership,benchmark convenience,wasm-exec-bs.maude,manual Fibonacci harness,BENCHMARK_HARNESS,yes for regression harness,outside generated C1 core,keep isolated from translator/output_bs,"Forbidden in translator; current forbidden hardcoding grep is clean."
