"artifact","artifact_kind","generated_location","translator_location","classification","source_provenance","c1_strict_status","p4_genericity_status","notes"
"w-N/w-M/w-K/... type atoms","fixed type variable atoms","output_bs.maude:42-43","translator_bs.ml:4087-4088","WASM_SPECIFIC_SEMANTICS","Wasm-oriented meta type/category atoms","needed by current Wasm translation","must be generated from source or parameterized","Hardcoded Wasm-looking atom set; likely P4 blocker."
"TypedTerm / WellTyped / _hasType_","type witness framework","output_bs.maude:48-52","translator_bs.ml:4089-4096; membership lowering sites","GENERIC_SPECTEC_PRELUDE","translator encoding of parametric syntax/category judgements","needed by current C1","can stay if carrier names generalize","Central to mb/cmb and list(syntax X) encoding."
"Judgement / ValidJudgement / valid","relation proof-result sorts","output_bs.maude:54-59","translator_bs.ml:4097-4104","GENERIC_SPECTEC_PRELUDE","translator encoding for relation rules rewriting to valid","needed by strict validation lowering","can stay generic","Header comments still mention old eq/ceq baseline and should be refreshed."
"_shape-x_","removed dead shape helper","removed from output_bs.maude","removed from translator_bs.ml","DEAD_CAN_REMOVE","not source-derived; real source shape constructor is CTORXA2 from syntax shape = lanetype X dim","removed from strict core","removed; no P4 action","Direct source/output comparison showed CTORXA2 covers source shape syntax and $dim/$lanetype/$unpackshape; _shape-x_ had no output use."
"slice","sequence slice helper declaration","output_bs.maude:62","translator_bs.ml:4106","GENERIC_SPECTEC_PRELUDE","generic sequence slicing used by translated source definitions/rules","needed by generated Wasm rules","can stay if generalized","Only declaration in header; operational equations are source/prelude dependent."
"_<-_","membership-like Bool helper","output_bs.maude:63","translator_bs.ml:4107","GENERIC_SPECTEC_PRELUDE","generic containment/test helper for translated Boolean conditions","needed by generated rules","can stay if generalized","Used in generated Boolean side conditions."
"merge / _=++_ / any","record/terminal combinators","output_bs.maude:65-68","translator_bs.ml:4108-4111","GENERIC_SPECTEC_PRELUDE","parser/translation support for records and wildcard terms","needed by generated validation contexts","can stay if generalized","merge is heavily used for contexts; any is a broad placeholder."
"Config / State / Store / Frame sorts","execution syntax sorts","output_bs.maude:77-82,1244,1277,1347","wasm-3.0/4.0-execution.configurations.spectec:118-148; translator_bs.ml:4114-4123","SOURCE_DERIVED","Wasm execution configuration syntax","C1 source-derived, with helper declarations","Wasm-specific; should be generated from source not fixed","The sorts are source constructs, but the fixed header predeclares config operators."
"StepConf / StepPureConf / StepReadConf / StepsConf","rewrite-result wrapper sorts","output_bs.maude:74-80","translator_bs.ml:4114-4121","EXECUTION_HARNESS","translator wrapper to prevent zero-step conditional satisfaction","needed for executable C1","generic relation wrapper idea, names currently Wasm Step-specific","Not source syntax; could be a generic relation-compilation mechanism."
"step / step-pure / step-read / steps operators","execution relation operators","output_bs.maude:83-86","wasm-3.0/4.3-execution.instructions.spectec:5-8; translator_bs.ml:4124-4127","SOURCE_DERIVED","source relation declarations, adapted to wrapper result sorts","C1 primary relation surface","relation wrappers should be generated generically","Source-derived names, but wrapper result sorts are translator infrastructure."
"$cfg-state / $cfg-instrs","config projection helpers","removed from output_bs.maude","removed from translator_bs.ml","DEAD_CAN_REMOVE","footer helper, not source-derived","removed from strict core","removed; no P4 action","Focused cleanup confirmed no active use; accepted execution smokes still pass."
"common variable block","header variable declarations","output_bs.maude:90-118 approx","translator_bs.ml:3970-3990 approx","EXECUTION_HARNESS","hand-maintained variable pool for generated footer/header helpers","needed while footer remains string-based","should be generated per artifact or eliminated","Stale VALOK-WT-S / VALOK-C / VALOK-NT variables were removed."
"auto-collected tokens","token constants","output_bs.maude:123-124","translator collection before header/body emission","SOURCE_DERIVED","tokens discovered from SpecTec parse","covered by source audit","generic if parser generalizes","Generated from source token usage."
"auto-declared helper call $f overloads","higher-order def parameter declarations","output_bs.maude:119-121","translator helper-call prescan around helper collection","SOURCE_DERIVED","wasm-3.0/3.2-numerics.vector.spectec uses def $f_ parameters in vector helper definitions","C1-covered representation of source higher-order def parameters","generalize helper-call declarations but keep source-derived intent","Used by generated vector numeric equations such as $ivunop/$fvunop; not a dead helper."
"generated syntax sorts and CTOR* constructors","syntax declaration lowering","output_bs.maude:1000-1900 approx","wasm-3.0/1.* and 4.0 syntax files; translator syntax lowering","SOURCE_DERIVED","249/249 source syntax declarations covered","C1-covered","generic if frontend parses other specs","Wasm-specific constructors are expected in Wasm output."
"generated mb/cmb memberships","syntax category membership","output_bs.maude:1900-3000 approx","translator syntax/category lowering","SOURCE_DERIVED","source syntax/category constraints","C1-covered","generic mechanism should carry over","Uses broad carriers plus category predicates."
"generated source def equations/rules","definition lowering","output_bs.maude:3000-4800 and 9300-9460 approx","wasm-3.0/*.spectec def declarations; translator def lowering","SOURCE_DERIVED","1272/1272 source def targets covered","C1-covered","generic if frontend/general lowering supports source dialect","Includes Wasm execution definitions such as $invoke/$instantiate."
"generated relation operators","relation declaration lowering","output_bs.maude:4800-8000 approx","wasm-3.0/*.spectec relation declarations; translator RelD lowering","SOURCE_DERIVED","82/82 source relation declarations covered","C1-covered","generic if relation lowering parameterized","Validation relation ops now rewrite via primary rl/crl."
"primary generated rl/crl rules","rule declaration lowering","output_bs.maude:4800-9300 approx","wasm-3.0/*.spectec rule declarations; translator RelD/Step lowering","SOURCE_DERIVED","499/499 source rules covered","C1-covered","generic if rule lowering parameterized","Do not mark non-executability as missing."
"$is-spectec-* predicates","generated category predicates","output_bs.maude:9470-9790 approx","translator refined predicate generation","GENERIC_SPECTEC_PRELUDE","derived from source syntax categories, not source constructs themselves","needed for operational source-sort guards","good generic pattern; keep spectec prefix","Renamed away from $is-* to avoid collisions with source helpers."
"$free-* helpers","source/free-variable helpers","output_bs.maude mixed generated declarations/equations","wasm-3.0/1.* syntax def sources","SOURCE_DERIVED","many are real source defs in syntax files","C1-covered","generic if source defs parse","Some generated helper infrastructure around them still needs separation."
"$is-spectec-val-seq","source category sequence predicate","output_bs.maude:453,9788-9791 and execution rule guards","translator_bs.ml:2043-2049,4015-4018,4058","GENERIC_SPECTEC_PRELUDE","derived from the SpecTec val category for translated val* premises","needed by Step/ctxt-instrs and related execution rules","good pattern; should be generated generically for needed category sequences","Uses W : Val instead of hardcoded value constructors."
"is-val / all-vals","removed value-prefix predicates","removed from output_bs.maude","removed from translator footer","DEAD_CAN_REMOVE","old source-absent execution helper pair","removed from strict core","removed; no P4 action except generic sequence predicates","Replaced by $is-spectec-val-seq."
"needs-label-ctxt","label control-flow detector","removed from output_bs.maude","removed from translator_bs.ml","DEAD_CAN_REMOVE","non-source helper from earlier heat/control experiment","removed from strict core","removed; no P4 action","Only active generated occurrences were declaration/equations; disabled branch using it was removed."
"is-trap","trap detector helper","removed from output_bs.maude","removed from translator_bs.ml","DEAD_CAN_REMOVE","non-source helper from execution support","removed from strict core","removed; no P4 action","Only active generated occurrences were declaration/equations; disabled branch using it was removed."
"$subst-typeuse sequence lift","list-lift helper","output_bs.maude:565-566,9789-9793","source element helper in 1.2 types plus C1 star-map sequence lift","GENERIC_SPECTEC_PRELUDE","source has element-level substitution and source equations use SpecTec star-map notation","accepted representation substrate for source substitution behavior","generalize beyond hand-written footer strings","Ablation regressed source substitution probes; retained as source-intent-preserving star-map lowering."
"$subst-valtype sequence lift","list-lift helper","output_bs.maude:568-569,9794-9798","source element helper in 1.2 types plus C1 star-map sequence lift","GENERIC_SPECTEC_PRELUDE","source has element-level substitution and source equations use SpecTec star-map notation","accepted representation substrate for source substitution behavior","generalize beyond hand-written footer strings","Returns terms, not valid; not the same as removed Val-ok list-lift."
"$subst-subtype sequence lift","list-lift helper","output_bs.maude:561-562,9799-9803","source element helper in 1.2 types plus C1 star-map sequence lift","GENERIC_SPECTEC_PRELUDE","source has element-level substitution and source equations use SpecTec star-map notation","accepted representation substrate for source substitution behavior","generalize beyond hand-written footer strings","Ablation made subtype-sequence substitution stuck; retained as source-intent-preserving star-map lowering."
"$rec-typevars","finite type-iteration helper","removed from output_bs.maude","removed from translator_bs.ml","DEAD_CAN_REMOVE","not direct source def; no active generated use beyond its own footer equations","removed from strict core","removed; no P4 action","Focused ablation confirmed accepted execution smokes still pass."
"$def-typeuses","finite type-iteration helper","removed from output_bs.maude","removed from translator_bs.ml","DEAD_CAN_REMOVE","not direct source def; no active generated use beyond its own footer equations","removed from strict core","removed; no P4 action","Focused ablation confirmed accepted execution smokes still pass."
"$idx-typeuses","finite type-iteration helper","removed from output_bs.maude","removed from translator_bs.ml","DEAD_CAN_REMOVE","not direct source def; no active generated use beyond its own footer equations","removed from strict core","removed; no P4 action","Focused ablation confirmed accepted execution smokes still pass."
"generic list type witness","polymorphic list membership shortcut","output_bs.maude:9880-9881","translator_bs.ml:4242-4246","GENERIC_SPECTEC_PRELUDE","supports source syntax list(syntax X)","needed for empty list witnesses","good generic candidate","May be acceptable generic prelude if renamed."
"CTORFRAMEA2 and frame projection/update equations","source frame record constructor","output_bs.maude:718,9823-9826","translator_bs.ml:881-885,4046-4052,4193-4194","SOURCE_DERIVED","represents wasm-3.0/4.0-execution.configurations.spectec frame syntax { LOCALS ..., MODULE ... }","needed by current execution smokes","genericity debt: derive typed record constructors from source record syntax instead of a Wasm frame special case","Replaces removed $mk-frame adapter; direct record-literal ablation did not compose with Store ; Frame matching."
"$local","local lookup helper","output_bs.maude:495,7821","wasm-3.0/4.0-execution.configurations.spectec:264-274","SOURCE_DERIVED_OK","source def for state local lookup","C1 source-derived; broad footer duplicate removed","Wasm-specific fields but generated from source","Direct probe and accepted execution smokes pass with only the source-generated equation."
"$with-local","local update helper","output_bs.maude:634,7827","wasm-3.0/4.0-execution.configurations.spectec:279-290","SOURCE_DERIVED_OK","source def for state local update","C1 source-derived; broad footer duplicate removed","Wasm-specific fields but generated from source","Direct probe and accepted execution smokes pass with only the source-generated equation."
"$with-locals","validation context update helper","output_bs.maude:635,4706-4707","wasm-3.0/2.0-validation.contexts.spectec:46-49","SOURCE_DERIVED_OK","source def for context local updates","C1 source-derived","Wasm-specific context fields but generated from source","Known strict limitation area via Instrs-ok/seq."
"specialized LABEL/FRAME/HANDLER constructor declarations","constructor sort override","output_bs.maude: generated declarations and translator postprocess","translator_bs.ml:4279-4281,4326-4330,4411-4416","WASM_SPECIFIC_SEMANTICS","Wasm administrative instruction constructors need narrow Maude sorts","needed for execution","must be generated from source shape instead of hardcoded names","Hardcoded CTOR names are a P4 blocker."
"label-related step-from-step-pure-*","derived execution shortcuts","output_bs.maude:8111-8301","translator_bs.ml:3585-3629","NON_C1_FINAL_SCAFFOLD","not direct source rules; derived from Step_pure label families","retained as documented P0 debt","belongs in C2 unless professor accepts generic bridge","20 labels remain; non-label shortcuts absent."
"disabled ExecConf restore-* branch","legacy translator branch","not emitted in output_bs.maude","removed from translator_bs.ml","DEAD_CAN_REMOVE","old context-closure experiment disabled by else-if false","removed from generator","removed; no P4 action","Removed along with restore-label/frame/handler-only helper logic."
"fib-store / fib-module / fib-config / fib-moduleinst","benchmark harness terms","wasm-exec-bs.maude:43-170 approx","not in translator_bs.ml","BENCHMARK_HARNESS","manual Fibonacci harness, not SpecTec source","outside strict generated core","irrelevant to P4; keep separate","Allowed in harness, forbidden in translator."
"i32v","benchmark convenience operator","wasm-exec-bs.maude:39-41","not in translator_bs.ml","BENCHMARK_HARNESS","manual Fibonacci shorthand","outside strict generated core","irrelevant to P4","Uses CTORI32A0 intentionally in harness."
"fib-config-invoke","benchmark invoke-path harness","wasm-exec-bs.maude:126-128","not in translator_bs.ml","BENCHMARK_HARNESS","manual Fibonacci invoke configuration","known incomplete invoke-path issue","irrelevant to generic translator","Do not confuse with source init-config."
"CTORI32A0-specific harness membership","benchmark harness membership","wasm-exec-bs.maude:41","not in translator_bs.ml","BENCHMARK_HARNESS","manual value membership for i32 constants","outside strict generated core","not generic","Permitted in harness, should not migrate to translator."
